"names","scores","logfoldchanges","pvals","pvals_adj","group"
"St8sia4",5.587979,1.0407594,2.88009862592213e-08,6.5331355664758e-08,"natural killer cell"
"Cxcr4",5.581168,0.90552336,2.98991392025198e-08,6.77781984755378e-08,"natural killer cell"
"Capn1",5.576707,0.82005906,3.06773425636598e-08,6.94970359363236e-08,"natural killer cell"
"Ifi35",5.574166,0.5870416,3.10355873545654e-08,7.02971707717059e-08,"natural killer cell"
"Ube2j2",5.572693,0.6785716,3.13425355971548e-08,7.09693295458673e-08,"natural killer cell"
"Mlx",5.568436,0.81380564,3.21210156295858e-08,7.26611404906507e-08,"natural killer cell"
"Fam117a",5.5651155,1.2003205,3.27742785903223e-08,7.41268452081034e-08,"natural killer cell"
"Trmt61a",5.563897,1.113526,3.29802315666164e-08,7.45684267725949e-08,"natural killer cell"
"Psmd14",5.562364,0.6073562,3.31862805692767e-08,7.50221194876424e-08,"natural killer cell"
"Zfp937",5.5579476,1.802808,3.41679865446931e-08,7.71912594431472e-08,"natural killer cell"
"Hist3h2ba",5.5549583,1.3070908,3.46693863924782e-08,7.82985931164323e-08,"natural killer cell"
"0610007P22Rik",5.550064,0.9356604,3.56111569766021e-08,8.03342920549795e-08,"natural killer cell"
"Prpf4b",5.5416613,0.53438646,3.72173705399749e-08,8.39169120970183e-08,"natural killer cell"
"Dcp1b",5.541164,1.5741781,3.74894980200372e-08,8.44894450278352e-08,"natural killer cell"
"Nck1",5.538083,0.72246623,3.79989719492696e-08,8.56099188389355e-08,"natural killer cell"
"Elmo1",5.5379696,0.8967995,3.80665689589411e-08,8.57483343814594e-08,"natural killer cell"
"Mob4",5.5249033,0.5366555,4.08459758100637e-08,9.18753965506377e-08,"natural killer cell"
"Ppwd1",5.524305,1.1097714,4.11148667317457e-08,9.24652762152878e-08,"natural killer cell"
"Cpne1",5.522776,0.7592334,4.13866063548669e-08,9.30463415804427e-08,"natural killer cell"
"Flii",5.5196743,0.69123733,4.21095111389561e-08,9.46257473067649e-08,"natural killer cell"
"Ssna1",5.5194745,0.57183737,4.21178678273478e-08,9.46292508109278e-08,"natural killer cell"
