"names","scores","logfoldchanges","pvals","pvals_adj","group"
"ACP5",16.240276,0.88840187,4.58571470799739e-58,2.42272442545757e-57,"B cell"
"SP110",16.056656,0.77389425,1.16528769377516e-56,6.07797549133613e-56,"B cell"
"LOC105874833",16.030714,2.6497185,2.10553327144061e-56,1.09603911861593e-55,"B cell"
"LOC105866405",15.994194,1.3546596,3.32098140429308e-56,1.72446939795436e-55,"B cell"
"TKFC",15.934393,1.9585493,8.56644365810203e-56,4.42927589798387e-55,"B cell"
"LOC105866076",15.90642,3.1271315,1.38907174447087e-55,7.17394879471115e-55,"B cell"
"ZCCHC7",15.850365,1.4857695,3.08366219930059e-55,1.58685468296198e-54,"B cell"
"LOC105854887",15.832112,0.9992593,3.47076364119782e-55,1.78547414808983e-54,"B cell"
"RPS25",15.790533,3.197007,5.83368235486824e-55,2.99419282162475e-54,"B cell"
"RPL35",15.676047,4.0523725,3.52521655263793e-54,1.79647498555828e-53,"B cell"
"CHML",15.675811,1.4226145,4.20873993596314e-54,2.14376312063147e-53,"B cell"
"SEMA7A",15.670363,1.6334805,4.61118706022361e-54,2.3472357525135e-53,"B cell"
"RPL5",15.60373,1.6840874,1.00235317210073e-53,5.09241310862976e-53,"B cell"
"PKIG",15.603535,1.4603113,1.2260747514419e-53,6.22500633953963e-53,"B cell"
"LOC105871392",15.525224,0.8994025,3.29475697162958e-53,1.66502802596755e-52,"B cell"
"LOC105879145",15.509726,2.32052,5.06150933851463e-53,2.55336371673483e-52,"B cell"
"LOC109730105",15.50721,1.6020576,5.25234362014994e-53,2.64920914242524e-52,"B cell"
"VWC2",15.481917,4.5185065,8.30661336956376e-53,4.18304428099064e-52,"B cell"
"LOC105864806",15.42714,2.5436084,1.68071490214219e-52,8.4381207539194e-52,"B cell"
"LOC105855056",15.398362,0.8328353,1.83114965370631e-52,9.18460592783066e-52,"B cell"
"PNISR",15.375987,0.7076664,3.33165957223388e-52,1.6663057374844e-51,"B cell"
"LAIR1",15.361995,1.2665195,4.34718233401021e-52,2.17179908296064e-51,"B cell"
"LPXN",15.326918,2.3748486,7.86275824241272e-52,3.92254036510739e-51,"B cell"
"C7H12orf57",15.311154,0.8044042,8.78893200763979e-52,4.38181105425193e-51,"B cell"
"ARAP2",15.236906,1.6165966,2.84013120852288e-51,1.41061939232893e-50,"B cell"
"KPNA5",15.181084,1.8007832,6.44896272056623e-51,3.1909605270465e-50,"B cell"
"DAPP1",15.129628,1.2695645,1.32493474208762e-50,6.53630323914808e-50,"B cell"
"GRAP",15.11439,1.8533156,1.71012872933026e-50,8.42602754221534e-50,"B cell"
"LOC105879710",15.058708,0.87566745,3.45515514839913e-50,1.69868128523807e-49,"B cell"
"EFCAB9",15.018111,2.0971475,6.92653700627316e-50,3.39527465044588e-49,"B cell"
"MCUB",15.013993,1.1113106,7.04657110411277e-50,3.45357612256166e-49,"B cell"
"PRKX",14.962259,1.4108832,1.50869441520512e-49,7.37014764786019e-49,"B cell"
"SLC39A10",14.9621525,1.3136992,1.48379218791921e-49,7.24962134426212e-49,"B cell"
"LOC105877733",14.953915,3.9694343,1.82712252795824e-49,8.91741073937982e-49,"B cell"
"AFF3",14.946094,1.7856358,1.92547728052503e-49,9.39307379347624e-49,"B cell"
"SHD",14.933757,2.4192436,2.39134522318077e-49,1.16512906505649e-48,"B cell"
"PLEKHG1",14.833316,1.8502194,9.64726965736116e-49,4.67152020337779e-48,"B cell"
"HDAC9",14.817602,2.1319249,1.23430010121537e-48,5.96496347993789e-48,"B cell"
"LOC105879135",14.816333,2.2220876,1.21153780383319e-48,5.85855504312156e-48,"B cell"
"RPS7",14.813471,4.2175508,1.05678859670268e-48,5.11338327602961e-48,"B cell"
"RPLP2",14.813034,5.137906,1.11370456429031e-48,5.38794981056707e-48,"B cell"
"LOC105858107",14.773352,1.0473323,2.14907887536019e-48,1.03682937197556e-47,"B cell"
"ITPR2",14.754136,0.84865564,2.83402938632461e-48,1.36623977866741e-47,"B cell"
"NSA2",14.726454,0.8269265,4.14332272926514e-48,1.99468228993759e-47,"B cell"
"STAP2",14.702397,1.5336583,6.00691501374601e-48,2.88832420522086e-47,"B cell"
"LIMS1",14.636102,0.9604177,1.50518224489508e-47,7.2197879973206e-47,"B cell"
"LOC105861857",14.6127405,0.9977507,2.07023515289975e-47,9.91051951271928e-47,"B cell"
"LOC105863375",14.607032,0.91918015,1.95465407354185e-47,9.36148277902873e-47,"B cell"
"RPL34",14.597816,4.0485754,2.23192240328032e-47,1.06780508662253e-46,"B cell"
"TAF1D",14.595939,0.8203365,2.59929304431497e-47,1.24318646832606e-46,"B cell"
"PACSIN1",14.589612,2.575559,3.13387349690735e-47,1.49772819678528e-46,"B cell"
"LOC105865897",14.528303,0.88074553,6.65920712445213e-47,3.17195702621863e-46,"B cell"
"RPS29",14.517366,3.3802912,6.61907637207762e-47,3.15331837628959e-46,"B cell"
"HLTF",14.485316,1.3271767,1.2894972377537e-46,6.12554929358983e-46,"B cell"
"LOC109730552",14.477,2.7308276,1.52967077880238e-46,7.25988802067846e-46,"B cell"
"LOC105877464",14.465659,1.450577,1.71545447745718e-46,8.13182715965072e-46,"B cell"
"UBTF",14.325068,0.8941252,1.16962209695096e-45,5.49889923199459e-45,"B cell"
"CIITA",14.219562,2.1188867,5.32259697593639e-45,2.48753645972678e-44,"B cell"
"SH2B2",14.217392,1.8754131,5.46736354750036e-45,2.55481474148285e-44,"B cell"
"CYTH1",14.205688,0.83351725,6.02598484830007e-45,2.81376343487088e-44,"B cell"
"PHC3",14.12404,1.377096,1.90987563175861e-44,8.87716053711198e-44,"B cell"
"ARHGAP17",14.048267,1.022864,5.20218966787706e-44,2.40380985841235e-43,"B cell"
"ATP10D",13.990559,1.4359732,1.17176789722613e-43,5.40495310696798e-43,"B cell"
"LOC105867742",13.981761,2.031307,1.35006298980924e-43,6.22554291612752e-43,"B cell"
"CPM",13.963753,2.8210118,1.75280221800793e-43,8.07206154446244e-43,"B cell"
"UBXN11",13.940858,2.0624506,2.35591303725924e-43,1.08352742506205e-42,"B cell"
"SESN1",13.887139,1.2822396,4.66424719589483e-43,2.13644083290377e-42,"B cell"
"LOC109731171",13.8807745,0.72720087,3.83258055312226e-43,1.75754301627608e-42,"B cell"
"TRAF3",13.87201,1.0017551,5.61854631501547e-43,2.57205834432402e-42,"B cell"
